Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.925000,-84.800000,180.000000,top
"C4","22p","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",70.100000,-90.900000,-90.000000,top
"D1","Caps","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.420001,-68.520001,0.000000,top
"D2","Scroll","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.750000,-68.500000,0.000000,top
"K_0","KEYSW","MX-1U-NoLED",57.225000,-80.925000,0.000000,top
"K_1","KEYSW","MX-1U-NoLED",76.275000,-80.925000,0.000000,top
"K_2","KEYSW","MX-1U-NoLED",95.325000,-80.925000,0.000000,top
"K_3","KEYSW","MX-1U-NoLED",114.375000,-80.925000,0.000000,top
"K_4","KEYSW","MX-1U-NoLED",133.425000,-80.925000,0.000000,top
"K_5","KEYSW","MX-1U-NoLED",152.475000,-80.925000,0.000000,top
"K_6","KEYSW","MX-1U-NoLED",171.525000,-80.925000,0.000000,top
"K_7","KEYSW","MX-1U-NoLED",190.575000,-80.925000,0.000000,top
"K_8","KEYSW","MX-1U-NoLED",209.625000,-80.925000,0.000000,top
"K_9","KEYSW","MX-1U-NoLED",228.675000,-80.925000,0.000000,top
"K_10","KEYSW","MX-1U-NoLED",247.725000,-80.925000,0.000000,top
"K_11","KEYSW","MX-1U-NoLED",266.775000,-80.925000,0.000000,top
"K_12","KEYSW","MX-1U-NoLED",57.225000,-99.975000,0.000000,top
"K_13","KEYSW","MX-1U-NoLED",76.275000,-99.975000,0.000000,top
"K_14","KEYSW","MX-1U-NoLED",95.325000,-99.975000,0.000000,top
"K_15","KEYSW","MX-1U-NoLED",114.375000,-99.975000,0.000000,top
"K_16","KEYSW","MX-1U-NoLED",133.425000,-99.975000,0.000000,top
"K_17","KEYSW","MX-1U-NoLED",152.475000,-99.975000,0.000000,top
"K_18","KEYSW","MX-1U-NoLED",171.525000,-99.975000,0.000000,top
"K_19","KEYSW","MX-1U-NoLED",190.575000,-99.975000,0.000000,top
"K_20","KEYSW","MX-1U-NoLED",209.625000,-99.975000,0.000000,top
"K_21","KEYSW","MX-1U-NoLED",228.675000,-99.975000,0.000000,top
"K_22","KEYSW","MX-1U-NoLED",247.725000,-99.975000,0.000000,top
"K_23","KEYSW","MX-1U-NoLED",266.775000,-99.975000,0.000000,top
"K_24","KEYSW","MX-1U-NoLED",57.225000,-119.025000,0.000000,top
"K_25","KEYSW","MX-1U-NoLED",76.275000,-119.025000,0.000000,top
"K_26","KEYSW","MX-1U-NoLED",95.325000,-119.025000,0.000000,top
"K_27","KEYSW","MX-1U-NoLED",114.375000,-119.025000,0.000000,top
"K_28","KEYSW","MX-1U-NoLED",133.425000,-119.025000,0.000000,top
"K_29","KEYSW","MX-1U-NoLED",152.475000,-119.025000,0.000000,top
"K_30","KEYSW","MX-1U-NoLED",171.525000,-119.025000,0.000000,top
"K_31","KEYSW","MX-1U-NoLED",190.575000,-119.025000,0.000000,top
"K_32","KEYSW","MX-1U-NoLED",209.625000,-119.025000,0.000000,top
"K_33","KEYSW","MX-1U-NoLED",228.675000,-119.025000,0.000000,top
"K_34","KEYSW","MX-1U-NoLED",247.725000,-119.025000,0.000000,top
"K_35","KEYSW","MX-1U-NoLED",266.775000,-119.025000,0.000000,top
"K_36","KEYSW","MX-1U-NoLED",57.225000,-138.075000,0.000000,top
"K_37","KEYSW","MX-1U-NoLED",76.275000,-138.075000,0.000000,top
"K_38","KEYSW","MX-1U-NoLED",95.325000,-138.075000,0.000000,top
"K_39","KEYSW","MX-1U-NoLED",114.375000,-138.075000,0.000000,top
"K_40","KEYSW","MX-1U-NoLED",133.425000,-138.075000,0.000000,top
"K_41","KEYSW","MX-1U-NoLED",152.475000,-138.075000,0.000000,top
"K_42","KEYSW","MX-1U-NoLED",171.525000,-138.075000,0.000000,top
"K_43","KEYSW","MX-1U-NoLED",190.575000,-138.075000,0.000000,top
"K_44","KEYSW","MX-1U-NoLED",209.625000,-138.075000,0.000000,top
"K_45","KEYSW","MX-1U-NoLED",228.675000,-138.075000,0.000000,top
"K_46","KEYSW","MX-1U-NoLED",247.725000,-138.075000,0.000000,top
"K_47","KEYSW","MX-1U-NoLED",266.775000,-138.075000,0.000000,top
"K_48","KEYSW","MX-1U-NoLED",57.225000,-157.125000,0.000000,top
"K_49","KEYSW","MX-1U-NoLED",76.275000,-157.125000,0.000000,top
"K_50","KEYSW","MX-1U-NoLED",95.325000,-157.125000,0.000000,top
"K_51","KEYSW","MX-1U-NoLED",114.375000,-157.125000,0.000000,top
"K_52","KEYSW","MX-2U-NoLED",142.950000,-157.125000,0.000000,top
"K_53","KEYSW","MX-1U-NoLED",171.525000,-157.125000,0.000000,top
"K_54","KEYSW","MX-1U-NoLED",190.575000,-157.125000,0.000000,top
"K_55","KEYSW","MX-1U-NoLED",209.625000,-157.125000,0.000000,top
"K_56","KEYSW","MX-1U-NoLED",228.675000,-157.125000,0.000000,top
"K_57","KEYSW","MX-1U-NoLED",247.725000,-157.125000,0.000000,top
"K_58","KEYSW","MX-1U-NoLED",266.775000,-157.125000,0.000000,top
"SW1","SW_PUSH","SW_SPST_TL3342",75.900000,-69.300000,0.000000,top
"X1","XTAL_GND","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",67.000000,-88.100000,-45.000000,top
